Designator,Mid X,Mid Y,Rotation,Layer
5.1K1,291.4,-36.7,180.0,top
5.1K2,291.4,-34.7,0.0,top
D_1,99.19,-56.5,180.0,top
D_10,225.19,-56.5,180.0,top
D_11,239.19,-56.5,180.0,top
D_12,253.19,-56.5,180.0,top
D_13,267.19,-56.5,180.0,top
D_14,295.19,-56.5,180.0,top
D_15,99.19,-51.5,180.0,top
D_16,127.19,-51.5,180.0,top
D_17,141.19,-51.5,180.0,top
D_18,155.19,-51.5,180.0,top
D_19,169.19,-51.5,180.0,top
D_2,113.19,-56.5,180.0,top
D_20,183.19,-51.5,180.0,top
D_21,197.19,-51.5,180.0,top
D_22,211.19,-51.5,180.0,top
D_23,225.19,-51.5,180.0,top
D_24,239.19,-51.5,180.0,top
D_25,253.19,-51.5,180.0,top
D_26,267.19,-51.5,180.0,top
D_27,281.19,-51.5,180.0,top
D_28,295.1988,-51.562,180.0,top
D_29,99.19,-46.5,180.0,top
D_3,127.19,-56.5,180.0,top
D_30,127.19,-46.5,180.0,top
D_31,141.19,-46.5,180.0,top
D_32,155.19,-46.5,180.0,top
D_33,169.19,-46.5,180.0,top
D_34,183.19,-46.5,180.0,top
D_35,197.19,-46.5,180.0,top
D_36,211.19,-46.5,180.0,top
D_37,225.19,-46.5,180.0,top
D_38,239.19,-46.5,180.0,top
D_39,253.19,-46.5,180.0,top
D_4,141.19,-56.5,180.0,top
D_40,267.19,-46.5,180.0,top
D_41,281.19,-46.5,180.0,top
D_42,295.19,-46.5,180.0,top
D_43,99.19,-41.5,180.0,top
D_44,113.19,-41.5,180.0,top
D_45,127.19,-41.5,180.0,top
D_46,141.19,-41.5,180.0,top
D_47,155.19,-41.5,180.0,top
D_48,169.19,-41.5,180.0,top
D_49,183.19,-41.5,180.0,top
D_5,155.19,-56.5,180.0,top
D_50,197.19,-41.5,180.0,top
D_51,211.19,-41.5,180.0,top
D_52,225.19,-41.5,180.0,top
D_53,239.19,-41.5,180.0,top
D_54,253.19,-41.5,180.0,top
D_55,267.19,-41.5,180.0,top
D_56,99.19,-36.5,180.0,top
D_57,113.19,-36.5,180.0,top
D_58,141.19,-36.5,180.0,top
D_59,183.19,-36.5,180.0,top
D_590,169.1905,-36.5073,180.0,top
D_591,197.194,-36.5073,180.0,top
D_6,169.19,-56.5,180.0,top
D_60,239.19,-36.5,180.0,top
D_61,253.19,-36.5,180.0,top
D_62,267.19,-36.5,180.0,top
D_63,281.19,-41.5,180.0,top
D_64,301.65,-48.2,90.0,top
D_7,183.19,-56.5,180.0,top
D_8,197.19,-56.5,180.0,top
D_9,211.19,-56.5,180.0,top
H1,233.175,-122.775,0.0,top
H10,314.14,-84.67,0.0,top
H11,353.05,-36.5,0.0,top
H2,99.75,-155.5,0.0,top
H3,87.0,-38.1,0.0,top
H4,102.2,-84.67,0.0,top
H6,338.0,-155.5,0.0,top
H9,218.875,-84.67,0.0,top
J1,305.475,-51.75,0.0,top
K_1,84.89,-72.16945,0.0,top
K_10,256.34,-72.16945,0.0,top
K_11,275.39,-72.16945,0.0,top
K_12,294.44,-72.16945,0.0,top
K_13,313.49,-72.16945,0.0,top
K_14,342.065,-72.16945,0.0,top
